Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"TUT_INTRO_TEXT",71028682261569545,"This is a work-in-progress app, and new features may be added over time. It was made by the anime community, for the anime community. There might be some small issues here and there — if you find any, you can report them from the Options menu by right-clicking the pet and clicking the bug icon.","このアプリは現在開発中で、今後も新しい機能が追加される可能性があります。オタクたちによって作られたオタクコミュニティのためのアプリです。小さな不具合があるかもしれませんが、もし見つけた場合はアバターを右クリックし、虫(バグ)アイコンをクリックして「オプション」メニューからご報告ください！","Эта программа находится на стадии разработки, и со временем в него могут быть добавлены новые функции. Оно создано аниме-сообществом для аниме-сообщества. Возможны небольшие ошибки. Если вы их обнаружите, сообщите о них, нажав правой кнопкой мыши по аватару и выбрав иконку ошибки.","Esta aplicación está en desarrollo y se le podrían añadir nuevas funciones con el tiempo. Fue creada por la comunidad de anime, para la comunidad de anime. Puede haber algunos pequeños errores — si encuentras alguno, puedes reportarlo desde el menú de Opciones haciendo clic derecho sobre la mascota y luego en el ícono del error.","这是一个仍处在开发阶段的应用程序","這是一個仍在開發中的應用程式，未來可能會新增更多功能。它是由動漫社群為了動漫社群所製作。可能會有一些小問題 —— 如果你發現了問題，可以在右鍵點擊寵物後點選錯誤圖示，透過選單選項回報。","Diese App befindet sich noch in der Entwicklung, und mit der Zeit werden neue Funktionen hinzukommen. Die App wurde von der Anime-Community für die Anime-Community entwickelt. Es kann einige kleinere Probleme geben – wenn du welche findest, kannst du sie über das Optionen-Menü melden, indem du mit der rechten Maustaste auf deinen Mate klickst und das Fehler-Symbol auswählst.","Cette application est en cours de développement, et de nouvelles fonctionnalités pourraient être ajoutées au fil du temps. Elle a été créée par la communauté anime, pour la communauté anime. Il peut y avoir quelques petits problèmes — si vous en trouvez, vous pouvez les signaler dans le menu Options en faisant un clic droit sur le compagnon et en cliquant sur l'icône de bug.","Бұл бағдарлама әлі әзірлену үстінде және уақыт өте келе жаңа мүмкіндіктер қосылуы мүмкін. Оны аниме қауымдастығы аниме қауымдастығы үшін жасаған. Кішігірім қателер болуы мүмкін. Егер тапсаңыз, аватарды тінтуірдің оң жақ түймешігімен басып, қате белгішесін таңдау арқылы хабарлаңыз.","이 앱은 아직 개발 중이에요! 시간이 지나면서 점점 더 많은 기능이 추가될 예정이에요. 애니메이션 커뮤니티가 만들었고, 애니메이션 커뮤니티를 위해 만들어졌어요. 사용하다 보면 작은 문제가 있을 수도 있는데, 그런 경우엔 아바타를 우클릭해서 나오는 옵션 메뉴에서 버그 아이콘을 눌러 신고해 주세요.","Prace nad tą aplikacją dalej trwają i nowe funkcje mogą zostać dodane w przyszłości. Została stworzona przez społeczność anime, dla społeczności anime. Do czasu do czasu mogą występować błędy - jeśli jakieś znajdziesz, możesz je zgłosić wchodząc w menu Opcji, klikając prawym przyciskiem myszy na stworzonko, i klikając ikonę buga.","Bu, geliştirilme aşamasında olan bir uygulamadır ve zamanla yeni özellikler eklenebilir. Anime topluluğu tarafından, anime topluluğu için yapılmıştır. Ufak tefek sorunlar olabilir — herhangi bir sorunla karşılaşırsanız, Avatara sağ tıklayıp Seçenekler menüsünden hata simgesine tıklayarak bildirebilirsiniz","Цей додаток є незавершеною роботою та нові функції можуть бyти додані у майбутньому. Додаток був зроблений від аніме спільноти, для аніме спільноти. Можуть бути невеликі помилки тут і там — якщо ви знайдете якусь, ви можете повідомити про них з меню Налаштувань клацнувши правої кнопкою миші по вихованцю та клацнувши іконку багів."
"TUT_HOW_TO_TITLE",71028682261569546,"How to Use MateEngine (Speedrun)","メイトエンジンの使い方説明RTA","Как пользоваться MateEngine? (Быстрый гайд)","Cómo usar MateEngine (Guía rápida)","如何使用 MateEngine（快速上手）","如何使用 MateEngine（快速上手）","So benutzt du MateEngine (Speedrun)","Comment utiliser MateEngine (Speedrun)","MateEngine қалай пайдалануға болады? (Жылдам саяхат)","MateEngine 사용법 (빠른 가이드)","Jak korzystać z MateEngine (Speedrun)","MateEngine Nasıl Kullanılır (Speedrun)","Як користуватися MateEngine (Швидкий екскурс)"
"TUT_HOW_TO_TEXT",71028682261569547,"Using MateEngine is really easy! Just right-click to open the Options menu. There, you can change the avatar size, enable or disable effects, whitelist apps that can make your avatar dance, or load mods and custom VRM/ME model files. In the next step, I’ll explain how to load custom avatars.","メイトエンジンはとっても簡単！右クリックでオプションメニューを開けば、そこでアバターのサイズを変更したりエフェクトのオン/オフを切り替えたり、アバターがダンスのために音を検知するアプリを選んだり、MODやVRM、MEモデルの読み込みなどができます。次は、アバターの読み込み方法を見てみましょう！","Пользоваться MateEngine очень просто! Просто нажмите правой кнопкой мыши по аватару, чтобы открыть главное меню. Там вы можете изменить размер аватара, включить или отключить эффекты, добавить приложения в белый список, чтобы ваш аватар танцевал или загрузить моды и собственные .vrm/.me-модели. В следующем шаге вы узнаете, как загружать пользовательские модели.","¡Usar MateEngine es muy fácil! Solo haz clic derecho para abrir el menú de Opciones. Allí puedes cambiar el tamaño del avatar, activar o desactivar efectos, poner en lista blanca las apps que pueden hacer bailar a tu avatar, o cargar mods y modelos VRM/ME personalizados. En el siguiente paso, te mostraré cómo cargar avatares personalizados.","使用 MateEngine 非常简单！只要右键点击打开选项菜单。你可以更改角色大小、打开或关闭特效、将可让角色跳舞的应用程序加入白名单，或是加载模块与自定义 VRM/ME 模型文件。接下来，我将介绍如何加载自定义角色。","使用 MateEngine 非常簡單！只要右鍵點擊打開選項選單。你可以更改角色大小、開啟或關閉特效、將可讓角色跳舞的應用程式加入白名單，或是載入模組與自訂 VRM/ME 模型檔案。下一步，我將說明如何載入自訂角色。","MateEngine ist super einfach zu bedienen! Klicke einfach mit der rechten Maustaste, um das Optionsmenü zu öffnen. Dort kannst du die Avatargröße ändern, Effekte aktivieren oder deaktivieren, Apps auf die Whitelist setzen, die deinen Avatar tanzen lassen dürfen, oder Mods und eigene VRM-/ME-Modelldateien laden. Im nächsten Schritt zeige ich dir, wie du eigene Avatare lädst.","Utiliser MateEngine est vraiment simple ! Faites un clic droit pour ouvrir le menu Options. Vous pouvez y modifier la taille de l’avatar, activer ou désactiver les effets, mettre en liste blanche les applications autorisées à faire danser l’avatar, ou charger des mods et des fichiers de modèles VRM/ME personnalisés. À l’étape suivante, je vous expliquerai comment charger un avatar personnalisé.","MateEngine пайдалану өте оңай! Негізгі мәзірді ашу үшін аватарыңызды тінтуірдің оң жақ түймешігімен басыңыз. Онда аватар өлшемін өзгертуге, эффектілерді қосуға немесе өшіруге, аватарыңызды билейтін қолданбаларды ақ тізімге қоюға немесе модтарды және жеке .vrm/.me үлгілерін жүктеп салуға болады. Келесі қадамда теңшелетін үлгілерді жүктеп салуды үйренесіз.","MateEngine은 정말 사용하기 쉬워요! 아바타를 우클릭해서 옵션 메뉴를 열어보세요. 그곳에서 아바타 크기를 변경하거나, 효과를 켜고 끌 수 있고, 아바타가 춤출 수 있도록 허용할 앱을 등록하거나, 모드 및 커스텀 VRM/ME 아바타 모델 파일을 불러올 수도 있어요. 다음 단계에서는 커스텀 아바타를 불러오는 방법을 설명할게요.","Korzystanie z MateEngine jest proste! Kliknij prawym przyciskiem myszy aby otworzyć menu. Tam możesz zmienić rozmiar awatara, przełączyć efekty, ustalić które aplikacje powodują taniec, lub ładować mody i modele VRM/ME. W następnym kroku objaśnię jak załadować nowego awatara.","MateEngine’i kullanmak gerçekten çok kolay! Seçenekler menüsünü açmak için avatarınıza sağ tıklamanız yeterli. Buradan avatar boyutunu değiştirebilir, efektleri açıp kapatabilir, avatarınızın dans edebileceği uygulamaları beyaz listeye ekleyebilir veya modlar ve özel VRM/ME model dosyalarını yükleyebilirsiniz. Bir sonraki adımda, özel avatarların nasıl yükleneceğini göstereceğim.”","Користуватись MateEngine дуже легко! Клацніть правою кнопкою миші щоб відкрити меню Налаштувань. Там ви можете змінити розмір аватару, ввімкнути або вимкнути ефекти, додати у білий список додатки завдяки яким ваш вихованець буде танцювати, або завантажити моди та користувацькі VRM/ME моделі. У наступному кроці, Я розповім як завантажити користувацькі аватари."
"TUT_VRM_01_TITLE",71028682261569548,"Using Custom Models 1/2","カスタムモデルの使い方 1/2","Использование пользовательских моделей 1/2","Uso de modelos personalizados 1/2","如何使用自定义模型 1/2","如何使用自訂模型 1/2","Eigene Modelle verwenden 1/2","Utiliser des modèles personnalisés 1/2","Пайдаланушы үлгілерін пайдалану 1/2
","커스텀 모델 사용하기 1/2","Używanie innych modeli 1/2","Özel Modellerin Kullanımı 1/2","Використання користувацьких моделей 1/2"
"TUT_VRM_01_TEXT",71028682261569549,"To use your own custom model, you need a .VRM file. You can download custom .VRM models from websites like Booth.jp and VRoidHub. Once you have a .VRM file, open the Options menu and click the 'VRM' button. This will open the file explorer, where you can select your VRM file.","自分だけのカスタムモデルを使いたい時は、VRM ファイルが必要です。BoothやVRoidHub などのサイトからVRM モデルを入手してください。VRM ファイルが用意できたら、オプションメニューを開いて「VRM」ボタンをクリック！ファイル選択画面が出てくるので、VRM ファイルを選択してください。","Чтобы использовать ваши пользовательские модели, вам нужен файл с расширением .VRM. Вы можете скачать .VRM-модели с сайтов по типу Booth.jp и VRoidHub. Как только у вас будет файл .VRM, откройте меню опций и нажмите кнопку ""VRM"". Откроется проводник, где вы сможете выбрать свою модель.","Para usar tu propio modelo personalizado, necesitas un archivo .VRM. Puedes descargar modelos VRM personalizados desde sitios como Booth.jp y VRoidHub. Una vez que tengas el archivo .VRM, abre el menú de Opciones y haz clic en el botón ""VRM"". Esto abrirá el explorador de archivos, donde podrás seleccionar tu archivo VRM.","若要使用自定义模型，你需要一个 .VRM 文件。你可以从 Booth.jp 和 VRoidHub 等网站下载或自定义 VRM 模型。得到 .VRM 文件后，打开选项菜单并点击「VRM」按钮。这会打开文件资源管理器，让你选择 VRM 文件。","若要使用自訂模型，你需要一個 .VRM 檔案。你可以從 Booth.jp 和 VRoidHub 等網站下載或自訂 VRM 模型。取得 .VRM 檔案後，打開選項選單並點選「VRM」按鈕。這會開啟檔案總管，讓你選擇 VRM 檔案。","Um ein eigenes Modell zu verwenden, brauchst du eine .VRM-Datei. Du kannst benutzerdefinierte VRM-Modelle auf Webseiten wie Booth.jp und VRoidHub herunterladen. Sobald du eine .VRM-Datei hast, öffne das Optionsmenü und klicke unten auf den „VRM“-Button. Dadurch öffnet sich der Datei-Explorer, in dem du deine Datei auswählen kannst.","Pour utiliser votre propre modèle personnalisé, vous avez besoin d’un fichier .VRM. Vous pouvez en télécharger depuis des sites comme Booth.jp ou VRoidHub. Une fois le fichier obtenu, ouvrez le menu Options et cliquez sur le bouton ""VRM"". Cela ouvrira l’explorateur de fichiers où vous pourrez sélectionner votre fichier.","Пайдаланушы үлгілерін пайдалану үшін сізге .VRM кеңейтімі бар файл қажет. .VRM үлгілерін Booth.jp және VRoidHub сияқты сайттардан жүктеп алуға болады. .VRM файлы болғаннан кейін опциялар мәзірін ашып, «VRM» түймесін басыңыз. Бұл үлгіні таңдауға болатын файл шолғышын ашады.","나만의 커스텀 모델을 사용하려면 .VRM 파일이 필요해요. Booth.jp나 VRoidHub 같은 사이트에서 VRM 모델을 다운로드할 수 있어요. .VRM 파일을 준비했다면, 옵션 메뉴를 열고 'VRM' 버튼을 클릭하세요. 그러면 파일 탐색기가 열리고 VRM 파일을 선택할 수 있어요.","Aby użyć własnego modelu, potrzebujesz pliku .VRM/ Możesz takie pliki pobrać ze stron jak Booth.jp i VroidHub. Kiedy już znajdziesz plik .VRM, otwórz menu i kliknij przycisk „VRM”. To otworzy eksplorator plików, gdzie możesz wybrać swój plik .VRM.","Kendi özel modelinizi kullanmak için bir .VRM dosyasına ihtiyacınız var. Booth.jp ve VRoidHub gibi sitelerden özel .VRM modelleri indirebilirsiniz. Bir .VRM dosyanız olduğunda, Seçenekler menüsünü açıp ‘VRM’ butonuna tıklayın. Bu, dosya gezginini açacak ve VRM dosyanızı seçmenizi sağlayacaktır.","Щоб використати користувацьку модель, вам потрібен файл .VRM. Ви можете завантажити моделі .VRM з веб-сайтів як Booth.jp або VRoidHub. Коли ви завантажили .VRM файл, відкрийте меню Налаштувань та клацніть на кнопку 'VRM'. Це відчинить файловий провідник, де ви зможете обрати ваш VRM файл."
"TUT_VRM_02_TITLE",71028682261569550,"Using Custom Models 2/2","カスタムモデルの使い方 2/2","Использование пользовательских моделей 2/2","Uso de modelos personalizados 2/2","如何使用自定义模型 2/2","如何使用自訂模型 2/2","Eigene Modelle verwenden 2/2","Utiliser des modèles personnalisés 2/2","Пайдаланушы үлгілерін пайдалану 2/2
","커스텀 모델 사용하기 2/2","Używanie innych modeli 2/2","Özel Modellerin Kullanımı 2/2","Використання користувацьких моделей 2/2"
"TUT_VRM_02_TEXT",71028682261569551,"Sometimes a .VRM file might fail to load. This usually isn’t a MateEngine issue, it’s often due to incorrect shaders or armature setup during export. If this happens, check the official UniVRM documentation. Some apps use fallback methods to fix broken models, but MateEngine doesn't (and won’t). You're responsible for making sure your VRM is properly exported.","まれにVRMファイルの読み込みに失敗することがあります。これは多くの場合メイトエンジン側の不具合ではなく、エクスポート時のシェーダーやボーン構造の設定ミスが原因です。このような場合は、公式のUniVRMドキュメントを確認してみてください。一部のアプリでは壊れたモデルを自動で補正する仕組みがありますが、メイトエンジンでは対応しておらず、今後もそのような機能の実装は行いません。そのため、正常なVRMをご自身でご用意ください。","Иногда файл .VRM может не загрузиться. Обычно это не ошибка MateEngine, а проблема с шейдерами или скелетом, допущенная при экспорте. В таком случае обратитесь к официальной документации UniVRM. Некоторые программы используют обходные методы для исправления моделей, но MateEngine этого не делает (и не будет). Ответственность за корректный экспорт модели .VRM лежит на пользователе.","A veces, un archivo .VRM puede no cargarse correctamente. Esto generalmente no es un problema de MateEngine, sino un error de configuración en los shaders o en el esqueleto al exportar. Si ocurre esto, consulta la documentación oficial de UniVRM. Algunas aplicaciones usan soluciones alternativas para modelos dañados, pero MateEngine no lo hace (ni lo hará). Es tu responsabilidad asegurarte de que tu VRM esté correctamente exportado.","有时候 .VRM 文件可能会加载失败。这通常不是 MateEngine 的问题，而是因为在导出时使用了错误的着色器或骨架设置。如果遇到这种情况，请查看官方的 UniVRM 说明文档。有些应用程序会试图自动修复损坏的模型，但 MateEngine 不会（未来也不会）。请确保你的 VRM 是正确导出的，这是用户的责任。","有時候 .VRM 檔案可能會載入失敗。這通常不是 MateEngine 的問題，而是因為在匯出時使用了錯誤的著色器或骨架設置。如果遇到這種情況，請查看官方的 UniVRM 說明文件。有些應用程式會試圖自動修復損壞的模型，但 MateEngine 不會（未來也不會）。請確保你的 VRM 是正確匯出的，這是使用者的責任。","Manchmal kann es passieren, dass eine .VRM-Datei nicht geladen wird. Das liegt meist nicht an MateEngine, sondern an falschen Shadern oder einer fehlerhaften Armatur beim Export. In solchen Fällen solltest du die offizielle UniVRM-Dokumentation prüfen. Manche Programme versuchen, defekte Modelle zu reparieren – MateEngine tut das nicht (und wird es auch nicht). Du bist selbst dafür verantwortlich, dass deine VRM korrekt exportiert ist.","Il arrive qu’un fichier .VRM ne se charge pas correctement. Ce n’est généralement pas un problème lié à MateEngine, mais plutôt à une mauvaise configuration des shaders ou de l’armature lors de l’exportation. Si cela se produit, consultez la documentation officielle d’UniVRM. Certaines applications essaient de corriger les modèles défectueux, mais MateEngine ne le fait pas (et ne le fera pas). Il vous revient de vous assurer que votre VRM est bien exporté.","Кейде .VRM файлы жүктелмеуі мүмкін. Бұл әдетте MateEngine қатесі емес, экспорттау кезінде енгізілген шейдер немесе скелет мәселесі. Бұл жағдайда ресми UniVRM құжаттамасын қараңыз. Кейбір бағдарламалар үлгілерді түзету үшін уақытша шешімдерді пайдаланады, бірақ MateEngine мұны жасамайды (және жасамайды). .VRM үлгісінің дұрыс экспортталуын қамтамасыз ету пайдаланушының міндеті.","가끔 .VRM 파일이 제대로 불러와지지 않을 수 있어요. 대부분 MateEngine의 문제가 아니라, 파일을 만들 때 셰이더나 뼈대 설정이 잘못되었기 때문이에요. 이런 경우에는 UniVRM 공식 문서를 참고해보세요. 일부 앱은 손상된 모델을 임시로 고치기도 하지만, MateEngine은 그런 처리를 하지 않으며 앞으로도 지원하지 않을 예정이에요. VRM 파일이 제대로 만들어졌는지는 사용자 스스로 확인해주셔야 해요.","W niektórych przypadkach, plik .VRM może się nie ładować. Nie jest to zwykle problem z MateEngine, a z niepoprawnym ustawieniem shaderów bądź szkieletu podczas eksportu. W takim przypadku, sprawdź oficjalną dokumentację UniVRM. Niektóre aplikacje mają własne sposoby naprawiania modeli, ale MateEngine ich nie posiada (i nie będzie posiadał). Jesteś odpowiedzialny za poprawny eksport swoich VRMów.","Bazen bir .VRM dosyası yüklenmeyebilir. Bu genellikle MateEngine kaynaklı bir sorun değildir; çoğunlukla yanlış shader veya armature (iskelet) ayarlarından kaynaklanır. Böyle bir durumda, resmi UniVRM dokümantasyonunu kontrol edin. Bazı uygulamalar bozuk modelleri düzeltmek için yedek yöntemler kullanır, ancak MateEngine bunu yapmaz ve yapmayacaktır. VRM dosyanızın doğru şekilde dışa aktarılmış olmasından siz sorumlusunuz.","Іноді файл .VRM може не коректно завантажитись. Це зазвичай помилка не з сторони MateEngine, це часто відбувається через неправильні шейдери або неправильне налаштування під час експорту моделі. Якщо це трапилось, перевірте офіційну документацію UniVRM. Деякі додатки використовуються резервні методи для виправлення зламаних моделей, але MateEngine не використовує їх, і не буде використовувати ці методи. Ви відповідальні за те, щоб ваш файл VRM був правильно експортований."
"LANGUAGE_INFO",71028682261569552,"Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言语 (Gengo) - Язык (Yazyk) - Idioma - 语言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Тіл - 言語 (Gengo) - Тіл (язык) - Идиома - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)
","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)","Language - 言語 (Gengo) - Язык (Yazyk) - Idioma - 語言 (Yǔyán) - Sprache - Langue - 언어 (Eoneo)"
"SKIP",71028682261569553,"Skip","スキップ","Пропустить","Omitir","跳过","跳過","Überspringen","Passer","Өткізіп жіберу
","건너뛰기","Pomiń","Atla","Пропустити"
"FINISH",71028682261569554,"Finish","完了","Завершить","Finalizar","完成","完成","Fertig","Finir","Аяқталды","완료","Zakończ","Bitir","Завершити "
"BACK",71028682261569555,"Back","戻る","Назад","Atrás","返回","返回","Zurück","Précédent","Артқа","뒤로","Wróć","Geri","Назад "
"NEXT",71028682261569556,"Next","次へ","Далее","Siguiente","下一步","下一步","Weiter","Suivant","Келесі","다음","Następny","Devam","Далі"
"HEAD_BLEND",71028682261569557,"Head Blend","頭のマウス追従強度","Положение головы","Mezcla de cabeza","头部跟踪鼠标指针的灵敏度","頭部跟蹤鼠標的強度","Kopf Bewegungsintensität","Mix anim./suivi pour la tête","Басты жылжыту
","머리 움직임","Ruchliwość Głowy","Kafa Birleştirme","Змішування голови"
"SPINE_BLEND",71028682261569558,"Spine Blend","上半身のマウス追従強度","Положение позвоночника","Mezcla de columna","脊椎跟踪鼠标指针的灵敏度","脊椎跟蹤鼠標的強度","Wirbelsäulen Bewegungsintensität","Mix anim./suivi pour la colone vertébrale","Омыртқаны жылжыту
","척추 움직임","Ruchliwość Torsu","Omurga Birleştirme","Змішування хребта"
"HAND_TRACKING",71028682261569559,"Hand Tracking","ハンドトラッキング","Отслеживание рук","Seguimiento de manos","手部跟随鼠标指针","手部會跟蹤鼠標","Handverfolgung","Suivi des mains","Қолды қадағалау
","손 따라가기","Ruchliwość Oczu","El Takibi","Відстеження рук"
"MENU_COLOR",71028682261569560,"Menu Color","メニューの色","Цвет меню","Color del menú","菜单颜色","選單顏色","Menüfarbe","Couleur du menu","Мәзір түсі
","메뉴 색상","Kolor menu","Menü Rengi","Колір меню"
"MENU_SATURATION",71028682261569561,"Menu Saturation","メニューの彩度","Насыщенность меню","Saturación del menú","菜单饱和度","選單飽和度","Menüsättigung","Saturation du menu","Мәзірдің қанықтылығы
","메뉴 채도","Nasycenie koloru menu","Menü Doygunluğu","Насиченість меню "
"MODELS",71028682261569562,"Models","モデル","Модели","Modelos","模型","模型","Modelle","Modèles","Модельдер","모델","Modele","Modeller","Моделі "
"LOAD",71028682261569563,"Load","読み込み","Загрузить","Cargar","加载","載入","Laden","Charger","Жүктеп алу
","불러오기","Wczytaj","Yükle","Завантажити "
"PNG_TOO_BIG",71028682261569564,"PNG file must be under 700 KB.","PNGファイルは700KB未満にしてください","PNG-файл должен быть меньше 700 КБ.","El archivo PNG debe pesar menos de 700 KB.","PNG 文件需小于 700KB。","PNG 檔案需小於 700KB。","PNG-Datei muss unter 700 KB sein.","Le fichier PNG doit faire moins de 700 Ko.","PNG файлының көлемі 700 КБ-тан аз болуы керек.
","PNG 파일은 700KB 이하여야 합니다","Plik PNG nie może przekraczać więcej niż 700 KB.","PNG dosyası 700 KB’tan küçük olmalıdır.","Файл PNG повинен бути менше 700 КБ."
"PNG_MISSING",71028682261569565,"FIX IMG","画像を修正","Испр. фото","Arreglar","修复缩略图","修復縮圖","Bild korrigieren","Corriger l'image","Фото түзету 
","이미지 수정","Napr. obraz","Görseli Düzelt","Випр. фото "
"UPLOAD",71028682261569566,"UPLOAD","アップロード","ЗАГРУЗИТЬ","Subir","上传","上傳","UPLOAD","Envoyer","Жүктеп алу
","업로드","Prześlij","YÜKLE","ЗАВАНТАЖИТИ"
"EYE_BLEND",71028682261569567,"Eye Blend","目のマウス追従強度","Положение глаз","Mezcla de ojos","目光跟踪鼠标指针的灵敏度","眼部跟蹤鼠標的強度","Augen Bewegungsintensität","Mix anim./suivi pour les yeux","Көзді жылжыту
","눈 움직임","Mieszanie oczu","Göz Birleştirme","Змішування очей "
"IK_FIX",71028682261569568,"Inverse Kinematics Feet","足IKを有効にする","Кинематика ног","Pies con Cinemática Inversa","逆向运动学脚部","反向運動學腳部","Inversive Kinematik Füße","Cinématique Inverse pour les pieds","Аяқтардың кері кинематикасы
","발 위치 자동 보정","Odwrotna kinematyka stóp","Tersine Kinematik Ayaklar","IK ніг "
"IK_INFO",71028682261569569,"Most models will look better with IK Feet enabled. If not, disable it for a more feminine movement style.","多くのモデルは足IKを有効にした方が自然になります。合わない場合はオフにすることでかわいい動きになります。","Большинство моделей будут выглядеть лучше с включённой кинематикой ног. Если нет — отключите, чтобы получить более женственный стиль движений.","La mayoría de los modelos se verán mejor con los IK Feet activados. Si no, desactívalos para un estilo de movimiento más femenino.","多数模型在打开逆向运动学脚部时脚会看起来更好。如果不适合，可以关闭以获取更女性化的动作风格","多數模型在開啟 IK 腳時看起來會更好。如果不適合，可以關閉以獲取更女性化的動作風格","Die meisten Modelle sehen mit aktivierten IK-Füßen besser aus. Wenn nicht, deaktiviere sie für einen femininen Bewegungsstil.","La plupart des modèles auront une meilleure apparence avec la cinématique inverse des pieds activée. Sinon, désactivez-la pour un style de mouvement plus féminin.","Көптеген модельдер аяқ IK қосылған кезде жақсырақ көрінеді. Олай болмаса, әйелдік қозғалыс стилі үшін оны өшіріңіз.
","대부분의 모델은 '발 위치 자동 보정'을 켜면 더 자연스럽게 보여요. 만약 어색하게 느껴진다면, 꺼서 좀 더 가볍고 여성스러운 움직임으로 바꿔보세요.","Większość modeli będzie wyglądać lepiej po włączeniu funkcji OK stóp. Jeśli efekt końcowy będzie niezadowalający, wyłącz ją, aby uzyskać bardziej kobiecy styl ruchu.","Çoğu model, IK Ayaklar açıkken daha iyi görünür. Eğer görünüm istediğiniz gibi değilse, daha feminen bir hareket tarzı için kapatabilirsiniz.","Більшість моделей будуть виглядати краще з ввімкненим IK ніг. Інакше, вимкніть це для більш жіночого стилю руху."
"AO",71028682261569570,"Ambient Occlusion","アンビエントオクルージョン (AO)","Затенение окружения","Oclusión Ambiental","环境光屏蔽","環境光遮蔽","Umgebungsverdeckung","Occlusion Ambiante","Қоршаған ортаны көлеңкелеу
","입체감 효과","Okluzja otoczenia","Ortam Gölgeleri","Затемнення навколишнього середовища"
